# header s,d,s,l,l,l,d,d,d,d,d,d,d,d,d,d,d,d,d,d,s,d,d,d,d,d,s,s,roi
Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,overlap_fraction,distance_x,distance_y,distance_z,distance3d,distance_units,Roi Name,roi
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_8.ome.tiff,0.0,domain,1,522,522,14.470573576798602,13.316091954022989,32.08429118773947,22.4808429118774,13.090930996408764,31.788395769740248,22.378621445266937,9.989811501400476,65535.0,21163.70498084291,8366.0,0.6304496510937013,0.6666666666666666,0.1044,micron^3,,,,,,,ch-0_domain_label-1,136087
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_8.ome.tiff,0.0,subdomain,2,185,185,8.755610536004994,11.037837837837838,30.37297297297297,20.71891891891892,11.01641007548223,30.30964867994078,20.72687619369294,,65535.0,24421.713513513518,8366.0,,,0.037,micron^3,,,,,,,ch-0_subdomain_label-2,136089
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_8.ome.tiff,0.0,subdomain,3,205,205,11.580007364083915,14.190243902439024,32.863414634146345,25.039024390243902,14.07296922576899,32.7111346410186,25.07178681241006,,51508.0,20606.88292682927,8918.0,,,0.041,micron^3,,,,,,,ch-0_subdomain_label-3,136090
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_8.ome.tiff,0.0,subdomain,4,105,105,7.808710824175984,15.98095238095238,32.03809523809524,19.723809523809525,16.001726519159266,32.050407770468695,19.718733865359305,,38686.0,18501.30476190476,8720.0,,,0.021,micron^3,,,,,,,ch-0_subdomain_label-4,136091
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_8.ome.tiff,1.0,domain,1,876,876,17.644387769644812,13.247716894977168,27.52625570776256,25.06164383561644,13.298244167488644,27.26775417150803,25.21314784010673,11.871396977233578,38170.0,14149.449771689498,6314.0,0.5082874473352156,0.5782178217821782,0.1752,micron^3,,,,,,,ch-1_domain_label-1,136088
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_8.ome.tiff,1.0,subdomain,2,102,102,8.739715979813916,10.735294117647058,33.65686274509804,25.41176470588235,10.769354021323911,33.64903360150769,25.437335285635527,,17715.0,11007.617647058823,7332.0,,,0.0204,micron^3,,,,,,,ch-1_subdomain_label-2,136092
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_8.ome.tiff,1.0,subdomain,3,174,174,8.223513913885213,11.20689655172414,29.35632183908046,28.92528735632184,11.311988188461267,29.36638546938962,28.986469139369746,,37452.0,15593.557471264368,6803.0,,,0.0348,micron^3,,,,,,,ch-1_subdomain_label-3,136093
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_8.ome.tiff,1.0,subdomain,4,293,293,11.485430317478428,14.566552901023892,23.79863481228669,24.53242320819113,14.55013978276697,23.876484702615866,24.51495706050845,,38170.0,15694.757679180888,6443.0,,,0.0586,micron^3,,,,,,,ch-1_subdomain_label-4,136094
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_8.ome.tiff,1.0,subdomain,5,79,79,10.98979250210614,12.708860759493673,26.696202531645568,19.417721518987346,12.812856789406553,26.745972156163187,19.481065942421125,,18667.0,11204.443037974685,7323.0,,,0.0158,micron^3,,,,,,,ch-1_subdomain_label-5,136095
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_8.ome.tiff,1.0,subdomain,6,196,196,12.88697173502055,13.70408163265306,28.18877551020408,24.270408163265305,13.702102785471665,28.090408466268777,24.254912784238947,,31731.0,14030.709183673467,6314.0,,,0.0392,micron^3,,,,,,,ch-1_subdomain_label-6,136096
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_8.ome.tiff,,overlap,1,112,112,,12.901785714285714,30.544642857142858,24.303571428571427,,,,,,,,,,0.0224,micron^3,0.0870917573872472,0.1133810557935916,0.1808256639292886,0.0259141463849847,0.2149993663506942,micron,overlap_label-1,136097
