# header s,d,s,l,l,l,d,d,d,d,d,d,d,d,d,d,d,d,d,d,s,d,d,d,d,d,s,s,roi
Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,overlap_fraction,distance_x,distance_y,distance_z,distance3d,distance_units,Roi Name,roi
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,0.0,domain,1,531,531,20.5979173766728,6.425612052730696,27.529190207156308,28.82297551789077,6.458426203814386,27.62813275202328,28.735357578562517,10.046897377720134,37148.0,15918.327683615818,5932.0,0.4986288038037298,0.6306413301662708,0.1062,micron^3,,,,,,,ch-0_domain_label-1,136075
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,0.0,subdomain,2,90,90,7.220344941716618,5.733333333333333,22.73333333333333,34.12222222222222,5.780685946394348,22.87425349059692,34.052157924680024,,25540.0,13983.6,6825.0,,,0.018,micron^3,,,,,,,ch-0_subdomain_label-2,136077
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,0.0,subdomain,3,85,85,7.127425145177709,5.752941176470588,26.97647058823529,31.75294117647059,5.815667791392174,26.893963239629542,31.6060870204476,,27749.0,15683.129411764708,5932.0,,,0.017,micron^3,,,,,,,ch-0_subdomain_label-3,136078
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,0.0,subdomain,4,130,130,7.771113328238458,5.6923076923076925,30.49230769230769,28.57692307692308,5.770117961846854,30.359051149394634,28.436303269507707,,37148.0,17306.76923076923,6155.0,,,0.026,micron^3,,,,,,,ch-0_subdomain_label-4,136079
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,0.0,subdomain,5,91,91,7.308456766293757,6.142857142857143,32.07692307692308,23.64835164835165,6.142819118298389,32.065994177131685,23.898656475812345,,33556.0,15358.164835164836,6210.0,,,0.0182,micron^3,,,,,,,ch-0_subdomain_label-5,136080
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,0.0,subdomain,6,135,135,7.676047250371222,8.207407407407407,25.155555555555555,27.17037037037037,8.129705918360802,25.1954120246534,27.34140205252242,,34825.0,16396.807407407407,6680.0,,,0.027,micron^3,,,,,,,ch-0_subdomain_label-6,136081
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,1.0,domain,1,651,651,19.497627170011967,7.608294930875576,21.878648233486945,29.39477726574501,7.64592467041002,21.88881550220509,29.30097498247448,10.752945766886826,47343.0,17012.712749615974,8447.0,0.5234078976571698,0.5902085222121487,0.1302,micron^3,,,,,,,ch-1_domain_label-1,136076
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,1.0,subdomain,2,76,76,8.362279448140603,6.302631578947368,15.644736842105264,34.4078947368421,6.3272819026942,15.660802179919616,34.41413957986785,,19785.0,13114.921052631578,9289.0,,,0.0152,micron^3,,,,,,,ch-1_subdomain_label-2,136082
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,1.0,subdomain,3,281,281,11.094073686047976,6.601423487544484,21.07473309608541,30.90035587188612,6.7351869575556975,20.85488054402938,30.76190229687542,,47343.0,18286.64056939502,8528.0,,,0.0562,micron^3,,,,,,,ch-1_subdomain_label-3,136083
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,1.0,subdomain,4,209,209,9.966052804513934,8.38755980861244,22.995215311004785,26.382775119617225,8.37102947016095,23.09617871241844,26.534007711817814,,37279.0,17302.71770334928,8447.0,,,0.0418,micron^3,,,,,,,ch-1_subdomain_label-4,136084
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,1.0,subdomain,5,85,85,8.091741448698357,10.188235294117646,27.36470588235294,27.341176470588238,10.193298774370565,27.293585993497157,27.33878032345013,,27286.0,15573.270588235297,9717.0,,,0.017,micron^3,,,,,,,ch-1_subdomain_label-5,136085
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_7.ome.tiff,,overlap,1,166,166,,7.656626506024097,24.50602409638554,28.813253012048197,,,,,,,,,,0.0332,micron^3,0.1633858267716535,0.0226246961564785,0.2295726899927274,0.1484373083244542,0.2743157512234377,micron,overlap_label-1,136086
